,ingre_count,is_described,duration,venue_0,venue_1,venue_2,venue_3,container_0,container_1,container_2,container_3,container_4,container_5,container_6,container_7,container_8,container_9
252,12,1,134,1,0,0,0,1,0,0,0,0,0,0,0,0,0
253,14,1,221,1,0,0,0,0,1,0,0,0,0,0,0,0,0
254,9,1,152,0,1,0,0,1,0,0,0,0,0,0,0,0,0
255,5,0,57,1,0,0,0,1,0,0,0,0,0,0,0,0,0
256,0,0,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0
257,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0
258,3,1,31,1,0,0,0,0,0,0,0,0,0,0,1,0,0
259,5,1,72,0,1,0,0,1,0,0,0,0,0,0,0,0,0
260,0,0,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0
261,5,1,80,0,1,0,0,1,0,0,0,0,0,0,0,0,0
262,0,0,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
263,2,0,58,0,1,0,0,0,0,0,0,0,0,0,1,0,0
264,1,0,63,0,1,0,0,0,0,0,0,1,0,0,0,0,0
265,5,0,64,1,0,0,0,1,0,0,0,0,0,0,0,0,0
266,4,1,81,0,1,0,0,1,0,0,0,0,0,0,0,0,0
267,3,0,42,0,1,0,0,0,0,1,0,0,0,0,0,0,0
268,3,1,68,0,1,0,0,0,0,1,0,0,0,0,0,0,0
269,2,1,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0
270,1,1,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0
271,1,1,58,1,0,0,0,0,0,1,0,0,0,0,0,0,0
272,4,1,98,1,0,0,0,0,0,1,0,0,0,0,0,0,0
273,4,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,1
274,4,0,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0
275,0,0,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0
276,2,0,80,0,1,0,0,0,0,1,0,0,0,0,0,0,0
277,4,0,36,0,1,0,0,0,0,1,0,0,0,0,0,0,0
278,5,1,86,0,1,0,0,0,0,1,0,0,0,0,0,0,0
279,7,1,53,0,1,0,0,0,0,1,0,0,0,0,0,0,0
280,6,1,184,0,1,0,0,0,0,1,0,0,0,0,0,0,0
281,7,1,183,0,1,0,0,0,0,0,0,0,0,0,0,1,0
282,8,1,266,0,1,0,0,0,0,1,0,0,0,0,0,0,0
283,0,0,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0
284,5,1,282,0,1,0,0,0,0,0,0,1,0,0,0,0,0
285,4,0,237,1,0,0,0,0,0,1,0,0,0,0,0,0,0
286,2,0,203,1,0,0,0,1,0,0,0,0,0,0,0,0,0
287,0,0,90,0,1,0,0,0,0,0,0,0,0,0,1,0,0
288,3,0,155,0,1,0,0,0,0,0,0,0,0,0,1,0,0
289,3,0,198,0,1,0,0,1,0,0,0,0,0,0,0,0,0
290,7,0,1359,0,1,0,0,0,0,1,0,0,0,0,0,0,0
291,5,0,324,1,0,0,0,0,0,1,0,0,0,0,0,0,0
292,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0
293,0,0,42,0,1,0,0,0,0,1,0,0,0,0,0,0,0
294,0,0,74,0,1,0,0,0,0,1,0,0,0,0,0,0,0
